id,finding,priority,rank,wave,module,status,title,dependencies,packet
FIX-DV-01,DV-01,P1,0,1,sheleg-dev,planned_not_implemented,"Claim фиксирует получение, но ошибочно считается завершением работы",,audit://extension/packets/FIX-DV-01.json
FIX-SY-01,SY-01,P1,0,1,agent-sync,planned_not_implemented,Выданные IDs меняются задним числом; два reserve возвращают один номер,,audit://extension/packets/FIX-SY-01.json
FIX-TG-01,TG-01,P1,0,1,telegram-dev,planned_not_implemented,"Crash fixture зелёный, но после реальной redelivery update теряется",,audit://extension/packets/FIX-TG-01.json
FIX-UP-02,UP-02,P1,0,1,sshlg-skills,planned_not_implemented,Принятый --dry-run всё равно запускает обновления и удаляет файлы,,audit://extension/packets/FIX-UP-02.json
CTX-01,,P1,1,1,task-pipeline,planned_not_implemented,Общий versioned context/task/result contract семьи,,audit://extension/packets/CTX-01.json
CTX-03,,P1,1,1,super-ux,planned_not_implemented,Интерактивные UX flow previews как связанный deliverable,,audit://extension/packets/CTX-03.json
FIX-AS-01,AS-01,P1,1,1,agent-stack,planned_not_implemented,Сага названа two-phase commit; неопределённый HTTP-исход предписано компенсировать как отказ,,audit://extension/packets/FIX-AS-01.json
FIX-DS-01,DS-01,P1,1,1,sheleg-design,planned_not_implemented,Сравнение packs сменой CSS не имеет общего token API,,audit://extension/packets/FIX-DS-01.json
FIX-MS-01,MS-01,P1,1,1,make-skill,planned_not_implemented,Приближение chars/3.9 выдаёт PASS токенового лимита,,audit://extension/packets/FIX-MS-01.json
FIX-SE-01,SE-01,P1,1,1,seo-aeo-audit,planned_not_implemented,Рекомендации Discover превращены в обязательный gate,,audit://extension/packets/FIX-SE-01.json
FIX-DV-02,DV-02,P1,0,2,sheleg-dev,planned_not_implemented,Пример renewal противоречит тесту переупорядоченных периодов и не сериализует grant,,audit://extension/packets/FIX-DV-02.json
FIX-SY-02,SY-02,P1,0,2,agent-sync,planned_not_implemented,Общий last-renew позволяет активности одного агента подавлять продление чужих leases,,audit://extension/packets/FIX-SY-02.json
FIX-TG-03,TG-03,P1,0,2,telegram-dev,planned_not_implemented,HMAC verifier удаляет поле signature и воспроизводит эту ошибку в собственном oracle,,audit://extension/packets/FIX-TG-03.json
CTX-02,,P1,1,2,task-pipeline,planned_not_implemented,Report → prioritized packet compiler и context freshness gate,CTX-01,audit://extension/packets/CTX-02.json
FIX-AS-02,AS-02,P1,1,2,agent-stack,planned_not_implemented,Нулевой baseline путается с отсутствующим: первый реальный расход теряется,,audit://extension/packets/FIX-AS-02.json
FIX-MS-02,MS-02,P1,1,2,make-skill,planned_not_implemented,Самодельный YAML parser теряет типы metadata,,audit://extension/packets/FIX-MS-02.json
FIX-RT-01,RT-01,P1,1,2,sshlg-skills,planned_not_implemented,Лексический роутер теряет намерение и смешивает аудит с изменением,,audit://extension/packets/FIX-RT-01.json
FIX-SE-02,SE-02,P1,1,2,seo-aeo-audit,planned_not_implemented,Любая manual action объявлена обнулением всех улучшений сайта,,audit://extension/packets/FIX-SE-02.json
FIX-UX-01,UX-01,P1,1,2,super-ux,planned_not_implemented,B030 не доказывает происхождение утверждения,,audit://extension/packets/FIX-UX-01.json
FIX-VD-02,VD-02,P1,1,2,sheleg-design,planned_not_implemented,"Скриншоты и quality gates есть, но нет обязательного цикла художественной критики конкретного рендера",,audit://extension/packets/FIX-VD-02.json
FIX-DV-03,DV-03,P1,0,3,sheleg-dev,planned_not_implemented,Компенсация количества не компенсирует уже снятые деньги,,audit://extension/packets/FIX-DV-03.json
FIX-SY-03,SY-03,P1,0,3,agent-sync,planned_not_implemented,Local renew перезаписывает уже завершённый steal,,audit://extension/packets/FIX-SY-03.json
FIX-AS-03,AS-03,P1,1,3,agent-stack,planned_not_implemented,Лексическое сходство усиливает противоречащую память и может вернуть старую инструкцию,,audit://extension/packets/FIX-AS-03.json
FIX-EV-01,EV-01,P1,1,3,task-pipeline,planned_not_implemented,Проверка выбора названия не доказывает пользу выполнения скилла,,audit://extension/packets/FIX-EV-01.json
FIX-RT-02,RT-02,P1,1,3,sshlg-skills,planned_not_implemented,Отказ от одного маршрута выключает всю эскалацию; цитата тоже считается отказом,,audit://extension/packets/FIX-RT-02.json
FIX-UX-02,UX-02,P1,1,3,super-ux,planned_not_implemented,B051 объявляет спамом текст без единого повторения,,audit://extension/packets/FIX-UX-02.json
