leaf_id,parent_id,priority,rank,wave,kind,modules,title,status,primary_bytes,primary_packet,depends_on
FIX-DV-01.01,FIX-DV-01,P1,0,1,implementation,sheleg-dev,Received vs completed state,planned,5757,audit://external-v3/leaves/FIX-DV-01.01.md,
FIX-SY-01.01,FIX-SY-01,P1,0,1,implementation,agent-sync,Immutable reservation identity,planned,4904,audit://external-v3/leaves/FIX-SY-01.01.md,
FIX-TG-01.01,FIX-TG-01,P1,0,1,implementation,telegram-dev,Durable inbox before ack,planned,6074,audit://external-v3/leaves/FIX-TG-01.01.md,
FIX-UP-02.01,FIX-UP-02,P1,0,1,implementation,sshlg-skills,Central operation plan,planned,6456,audit://external-v3/leaves/FIX-UP-02.01.md,
ADOPT-M-01.01,ADOPT-M-01,P2,1,1,implementation,make-skill,Добавить выборочную загрузку refs с бюджетом,planned,5716,audit://external-v3/leaves/ADOPT-M-01.01.md,
ADOPT-M-06.01,ADOPT-M-06,P2,1,1,implementation,super-ux,Сохранить provenance вresearch synthesis,planned,4948,audit://external-v3/leaves/ADOPT-M-06.01.md,
ADOPT-M-11.01,ADOPT-M-11,P2,1,1,implementation,sheleg-design,Добавитьstandards-vs-heuristics a11yreference,planned,4734,audit://external-v3/leaves/ADOPT-M-11.01.md,
CTX-01.01,CTX-01,P1,1,1,implementation,task-pipeline,Packet and context schemas,planned,4000,audit://external-v3/leaves/CTX-01.01.md,
FIX-AS-01.01,FIX-AS-01,P1,1,1,implementation,agent-stack,Saga state model,planned,4633,audit://external-v3/leaves/FIX-AS-01.01.md,
FIX-SE-01.01,FIX-SE-01,P1,1,1,implementation,seo-aeo-audit,Рекомендации Discover превращены в обязательный gate,planned,6516,audit://external-v3/leaves/FIX-SE-01.01.md,
FIX-DV-01.02,FIX-DV-01,P1,0,2,implementation,sheleg-dev,Atomic business application,planned,4889,audit://external-v3/leaves/FIX-DV-01.02.md,FIX-DV-01.01
FIX-SY-01.02,FIX-SY-01,P1,0,2,implementation,agent-sync,Allocator receipts and offline mapping,planned,6030,audit://external-v3/leaves/FIX-SY-01.02.md,FIX-SY-01.01
FIX-TG-01.02,FIX-TG-01,P1,0,2,implementation,telegram-dev,Business and send dedup,planned,4860,audit://external-v3/leaves/FIX-TG-01.02.md,FIX-TG-01.01
ADOPT-M-02.01,ADOPT-M-02,P2,1,2,implementation,make-skill,Зафиксировать метод output eval без hostlock,planned,4957,audit://external-v3/leaves/ADOPT-M-02.01.md,
ADOPT-M-07.01,ADOPT-M-07,P2,1,2,implementation,super-ux,Подключитьresearch ledger безновойresearchroute,planned,6334,audit://external-v3/leaves/ADOPT-M-07.01.md,ADOPT-M-06.01
ADOPT-M-12.01,ADOPT-M-12,P2,1,2,implementation,sheleg-design,Подключитьa11yevidence изdesignentry,planned,6492,audit://external-v3/leaves/ADOPT-M-12.01.md,ADOPT-M-11.01
